           RELATIVISTIC
 ELASTIC SCATTERING CROSS SECTION
   d sigma/d omega versus theta

Atomic number       : 79
Energy              : 50 eV to 2650 eV, in 1 eV to 400 and 10 eV from there
Total cross section : in units of ao**2
    (ao**2 = 2.8002852E-21 m**2)
First row is Angle from 0 to 180 deg
First col is Energy in eV
Secnd col is Total cross section in unts of a0^2
The rest is cross section for each angle (d sigma/d omega) in units of ao**2/sterad

________________________________________
0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0,56.777657,3.990765,4.81397,4.76747,4.732868,5.140009,5.029723,5.365497,5.621503,5.525469,6.063338,6.247573,6.145255,6.753804,7.02253,6.840237,7.320471,6.940576,7.339403,7.129731,7.133315,6.848667,6.459324,6.216932,5.325861,5.201243,4.22337,3.568086,2.922661,1.691216,1.055635,0.073687,0.996012,2.065679,3.134251,4.212148,5.378692,6.468374,7.586576,8.651377,9.678352,10.639832,11.550337,12.40512,13.197627,13.9315,14.519237,15.036405,15.460203,15.79473,16.052525,16.160023,16.211786,16.177221,16.026903,15.772227,15.48467,15.065069,14.547473,14.032822,13.394443,12.739985,12.002061,11.223938,10.409641,9.578355,8.753557,7.875881,7.022181,6.163709,5.318988,4.490486,3.684432,2.911123,2.177327,1.48726,0.847106,0.261606,0.26963,0.742565,1.138966,1.477444,1.746216,1.94347,2.074872,2.129248,2.116769,2.037301,1.884136,1.669574,1.395126,1.055851,0.693118,0.24327,0.272072,0.780356,1.360347,1.942191,2.570164,3.254679,3.890918,4.547004,5.224678,5.901031,6.548624,7.188004,7.816892,8.425172,8.99313,9.525403,10.047092,10.534744,10.926013,11.266622,11.583656,11.807328,11.991859,12.109203,12.159649,12.181396,12.113741,11.977,11.782499,11.504892,11.19628,10.829926,10.351971,9.847188,9.295195,8.674908,8.01028,7.303608,6.547535,5.753417,4.923324,4.063568,3.174972,2.256976,1.32286,0.374677,0.589508,1.557943,2.535972,3.512233,4.488775,5.454367,6.409448,7.355833,8.281081,9.189546,10.076101,10.93854,11.775065,12.589706,13.372021,14.123276,14.826532,15.54422,16.19228,16.840466,17.372272,17.938187,18.474285,19.01829,19.403061,19.857569,20.241583,20.592287,20.955462,21.237118,21.512924,21.793427,21.992456,22.170773,22.351192,22.491234,22.608046,22.696507,22.771582,22.814232,22.874353,22.880219
1,52.598812,2.349195,3.115648,3.077976,3.056212,3.447496,3.362688,3.695661,3.957011,3.895434,4.425338,4.629784,4.570813,5.173916,5.463296,5.33617,5.8252,5.516901,5.932525,5.784721,5.834828,5.617424,5.303152,5.125082,4.345131,4.275425,3.413364,2.850505,2.295892,1.196247,0.648669,0.221441,1.174185,2.12811,3.082391,4.046725,5.094895,6.073241,7.079738,8.038352,8.963669,9.829989,10.650886,11.422003,12.13724,12.800024,13.329128,13.794726,14.175581,14.475524,14.706183,14.799104,14.842105,14.806698,14.665524,14.428985,14.163364,13.776535,13.300027,12.827323,12.240787,11.640189,10.962932,10.248936,9.501925,8.739525,7.983458,7.178459,6.395828,5.608724,4.83428,4.074694,3.335663,2.626689,1.953997,1.321439,0.73472,0.198214,0.288475,0.721607,1.084263,1.393722,1.639027,1.818491,1.937342,1.985183,1.971412,1.895871,1.752287,1.552032,1.296449,0.980913,0.643763,0.225875,0.252784,0.72487,1.263533,1.80401,2.387433,3.023567,3.615026,4.225193,4.855604,5.485103,6.088168,6.683909,7.270259,7.83771,8.368052,8.86549,9.353296,9.809762,10.176881,10.497066,10.795435,11.007071,11.182386,11.29517,11.345616,11.369177,11.309368,11.184966,11.006418,10.750131,10.464417,10.12427,9.679715,9.20929,8.694045,8.114322,7.492287,6.83001,6.120607,5.374555,4.59374,3.783973,2.945996,2.079256,1.196072,0.298335,0.615741,1.53524,2.465103,3.394756,4.326056,5.248532,6.162539,7.069689,7.958365,8.832515,9.687301,10.520573,11.330544,12.120849,12.881682,13.614087,14.302197,15.003882,15.640889,16.277924,16.806589,17.366537,17.898249,18.436565,18.82622,19.279673,19.666462,20.021141,20.385996,20.673632,20.954237,21.237448,21.443201,21.627722,21.812235,21.95714,22.07831,22.170942,22.248865,22.294348,22.353737,22.360355
2,48.666157,0.885554,1.598207,1.568489,1.558147,1.933509,1.87157,2.200433,2.465197,2.434311,2.954612,3.175917,3.155524,3.750963,4.057263,3.979584,4.474192,4.230813,4.659542,4.567422,4.658772,4.502263,4.256336,4.136536,3.459152,3.439027,2.684203,2.206559,1.735755,0.758782,0.29259,0.473503,1.317288,2.163306,3.010956,3.869265,4.806776,5.681043,6.583041,7.442312,8.272505,9.049797,9.786862,10.479721,11.122712,11.719053,12.19346,12.611006,12.95194,13.219839,13.425472,13.50522,13.540524,13.504892,13.37291,13.154048,12.909682,12.554334,12.117146,11.684564,11.147484,10.598232,9.978734,9.325754,8.642721,7.945796,7.25503,6.519045,5.803881,5.084504,4.376729,3.682499,3.007008,2.359003,1.744197,1.166099,0.629956,0.139798,0.304779,0.700316,1.031135,1.313257,1.536506,1.699311,1.806488,1.848373,1.833629,1.76208,1.627861,1.441462,1.204072,0.911357,0.598792,0.211536,0.232008,0.669422,1.168556,1.669456,2.210287,2.800203,3.34885,3.915126,4.500387,5.085127,5.645648,6.199698,6.745413,7.273869,7.768273,8.232433,8.687891,9.114587,9.458623,9.759284,10.039833,10.239959,10.406467,10.514892,10.565339,10.590659,10.538362,10.425768,10.262494,10.026604,9.762827,9.447803,9.03521,8.597705,8.11769,7.576849,6.995661,6.375978,5.711361,5.011458,4.277974,3.516251,2.726942,1.909508,1.075354,0.226214,0.63956,1.511844,2.3952,3.279804,4.167332,5.048037,5.922194,6.791231,7.644306,8.484993,9.308722,10.113405,10.89727,11.663572,12.403119,13.116737,13.789584,14.475215,15.100872,15.726485,16.251333,16.804817,17.331593,17.863771,18.257317,18.709076,19.097837,19.455652,19.821514,20.114264,20.398905,20.684219,20.895908,21.085922,21.273968,21.423182,21.548227,21.644602,21.72506,21.773106,21.831734,21.839045
3,44.99593,0.407414,0.25428,0.231677,0.231396,0.590776,0.549198,0.872694,1.13902,1.135204,1.644332,1.879278,1.892881,2.478531,2.798171,2.764443,3.261545,3.07667,3.514965,3.472594,3.600119,3.498405,3.314362,3.247018,2.663979,2.688311,2.032479,1.633116,1.239384,0.3763,0.014875,0.684479,1.427004,2.17266,2.921057,3.680596,4.514879,5.292058,6.0965,6.86302,7.604386,8.298553,8.957353,9.577163,10.15274,10.687114,11.110609,11.483489,11.787406,12.025702,12.208331,12.276251,12.304873,12.269596,12.146838,11.9452,11.721417,11.396287,10.996704,10.602465,10.112524,9.612179,9.047622,8.452641,7.830383,7.195623,6.56684,5.896319,5.245136,4.58996,3.945363,3.313043,2.697723,2.107433,1.5474,1.020813,0.532483,0.086115,0.318702,0.678774,0.979598,1.236006,1.438557,1.585791,1.682134,1.718614,1.703202,1.635699,1.510626,1.337639,1.11778,0.84699,0.558035,0.200116,0.209839,0.614071,1.075426,1.538491,2.038636,2.584435,3.092185,3.616545,4.158709,4.700729,5.220632,5.734886,6.241817,6.733059,7.19316,7.625553,8.050154,8.448455,8.770448,9.052462,9.31601,9.505136,9.663238,9.767499,9.817946,9.844974,9.799861,9.69856,9.549901,9.333511,9.090736,8.799771,8.417747,8.011765,7.565499,7.061903,6.51986,5.941015,5.319351,4.663727,3.975677,3.260096,2.517557,1.747525,0.960541,0.15819,0.661047,1.487801,2.326276,3.167358,4.012557,4.852812,5.688326,6.520353,7.338789,8.146855,8.940239,9.716913,10.475121,11.217767,11.936233,12.631149,13.288638,13.958182,14.572221,15.18617,15.706561,16.25312,16.774437,17.300062,17.69655,18.146015,18.535984,18.896139,19.262369,19.559404,19.847353,20.134192,20.351063,20.545887,20.736937,20.889929,21.018383,21.11809,21.200783,21.251137,21.308977,21.316917
4,41.920235,1.536828,0.923359,0.939656,0.931182,0.58784,0.611465,0.29454,0.02843,0.008654,0.487799,0.733298,0.776501,1.350329,1.679875,1.684826,2.181468,2.048938,2.493409,2.495092,2.653931,2.601158,2.472798,2.452331,1.955741,2.01961,1.454845,1.127103,0.803968,0.046328,0.275955,0.856308,1.504981,2.157532,2.813776,3.481531,4.219738,4.906559,5.620127,6.300242,6.958841,7.575568,8.161457,8.713229,9.226046,9.702755,10.07898,10.410445,10.680138,10.891171,11.052733,11.110108,11.133018,11.098639,10.985126,10.80026,10.596396,10.300256,9.936605,9.57898,9.133931,8.680126,8.167778,7.627875,7.063288,6.487492,5.917476,5.308987,4.718408,4.124023,3.539226,2.965486,2.407078,1.871356,1.36309,0.885163,0.441978,0.036929,0.330397,0.657062,0.929666,1.161922,1.345084,1.477793,1.564108,1.59571,1.579914,1.5165,1.400353,1.24034,1.037364,0.78762,0.521322,0.191479,0.186374,0.558874,0.984151,1.41108,1.872392,2.376115,2.844829,3.329195,3.830257,4.331538,4.812696,5.288995,5.758939,6.214701,6.642084,7.04418,7.439373,7.810615,8.111573,8.375793,8.623137,8.801762,8.951842,9.052132,9.102581,9.131261,9.093018,9.002507,8.867822,8.670061,8.447377,8.179439,7.826626,7.450805,7.036848,6.568903,6.06435,5.524634,4.944134,4.330968,3.686502,3.015211,2.317587,1.593099,0.85147,0.094144,0.680285,1.463155,2.258341,3.057397,3.861684,4.662786,5.460843,6.256947,7.041694,7.817976,8.581725,9.330973,10.06398,10.783321,11.480926,12.15724,12.799298,13.452744,14.054921,14.656988,15.172327,15.711528,16.2269,16.745579,17.144114,17.590717,17.981167,18.342903,18.708895,19.009426,19.299988,19.587799,19.809137,20.008121,20.201664,20.357927,20.489349,20.591993,20.676634,20.729052,20.786079,20.794592
5,39.396385,2.509673,1.941797,1.952564,1.93659,1.609338,1.617323,1.30812,1.043933,1.003899,0.521558,0.268465,0.199879,0.360184,0.696346,0.734921,1.22828,1.142189,1.589593,1.629871,1.815368,1.805923,1.727299,1.748358,1.330639,1.429327,0.94802,0.685504,0.426749,0.233562,0.492835,0.990896,1.552834,2.11926,2.690176,3.272863,3.921873,4.524808,5.15393,5.753744,6.335404,6.880156,7.398285,7.88684,8.341367,8.764546,9.097,9.390174,9.628318,9.814332,9.956685,10.00474,10.022855,9.989889,9.885626,9.717079,9.532484,9.264133,8.934793,8.612103,8.209764,7.800204,7.337418,6.849761,6.339841,5.819911,5.305552,4.755771,4.222534,3.685643,3.157381,2.639001,2.134355,1.650162,1.190759,0.75874,0.358123,0.007989,0.340016,0.635256,0.881352,1.09096,1.25599,1.37518,1.452238,1.479462,1.46355,1.404261,1.296817,1.149347,0.962616,0.733062,0.488489,0.185491,0.161705,0.503886,0.894741,1.287183,1.711463,2.175094,2.606584,3.052821,3.51472,3.977185,4.421421,4.861552,5.296257,5.718219,6.114427,6.487653,6.854843,7.200323,7.481228,7.728483,7.960394,8.129003,8.27144,8.367943,8.418393,8.448674,8.416992,8.336785,8.215448,8.035471,7.831992,7.586076,7.261158,6.914174,6.531122,6.097278,5.628601,5.12635,4.585274,4.01279,3.410106,2.781299,2.126782,1.446026,0.747981,0.033954,0.697353,1.437952,2.191404,2.949903,3.714664,4.477888,5.239655,6.000909,6.752907,7.498233,8.233052,8.955455,9.663724,10.360122,11.037097,11.694923,12.321503,12.958855,13.548957,14.138949,14.648676,15.180118,15.689094,16.200462,16.600193,17.043396,17.433638,17.796238,18.161413,18.464693,18.757208,19.045467,19.270588,19.47311,19.668661,19.827709,19.961679,20.066881,20.153196,20.207445,20.263636,20.272665
6,37.15237,3.332795,2.807984,2.813968,2.791694,2.48058,2.475142,2.174763,1.914132,1.857041,1.390182,1.132329,1.042402,0.497957,0.158326,0.090969,0.396407,0.351099,0.798335,0.871984,1.07968,1.108188,1.073601,1.131061,0.784948,0.913934,0.508787,0.305363,0.105025,0.465746,0.667656,1.090106,1.572148,2.05915,2.551297,3.055369,3.621792,4.14706,4.697913,5.223291,5.733615,6.211642,6.666962,7.096929,7.49746,7.871084,8.163121,8.421001,8.630163,8.793307,8.918224,8.958126,8.972319,8.941246,8.846224,8.693551,8.52758,8.285852,7.989244,7.699854,7.338113,6.970573,6.554786,6.116636,5.658478,5.191414,4.729703,4.235423,3.756372,3.273788,2.798906,2.332776,1.878852,1.443254,1.029909,0.641142,0.280608,0.048867,0.347706,0.613431,0.834668,1.023075,1.171182,1.277815,1.346356,1.369679,1.353901,1.29876,1.199798,1.064443,0.893334,0.683131,0.459374,0.182024,0.135923,0.449161,0.807203,1.166762,1.555762,1.981227,2.377252,2.787173,3.211791,3.637308,4.046389,4.452091,4.853251,5.243046,5.609575,5.955319,6.29587,6.616845,6.87865,7.109746,7.326974,7.486036,7.621196,7.714093,7.764546,7.796377,7.770956,7.700581,7.591986,7.428969,7.243834,7.018961,6.720657,6.401224,6.047713,5.646462,5.212092,4.745687,4.242341,3.70881,3.146153,2.558069,1.944896,1.306104,0.649915,0.022498,0.712332,1.412233,2.125477,2.844853,3.57145,4.298048,5.024671,5.752132,6.472308,7.1875,7.894093,8.590234,9.274229,9.948054,10.604643,11.244115,11.855186,12.476469,13.054307,13.632056,14.135648,14.658959,15.161117,15.66484,16.064959,16.504261,16.893642,17.256422,17.620241,17.925554,18.219393,18.507603,18.735853,18.941322,19.138422,19.299793,19.435905,19.54331,19.631037,19.686892,19.742226,19.751719
7,35.146832,4.012904,3.528731,3.530648,3.503224,3.208292,3.191556,2.901054,2.645544,2.574457,2.124391,1.864487,1.757086,1.230028,0.889935,0.798428,0.319611,0.329553,0.114557,0.216579,0.442213,0.50353,0.507527,0.596482,0.315016,0.469974,0.133991,0.016217,0.163854,0.652554,0.802519,1.155766,1.564471,1.978482,2.398156,2.829808,3.319988,3.773561,4.252077,4.70865,5.153016,5.569363,5.966622,6.342447,6.693104,7.02098,7.275822,7.501278,7.683917,7.826247,7.935423,7.968281,7.979378,7.950646,7.864844,7.7276,7.579622,7.363378,7.09797,6.840295,6.517101,6.189426,5.818158,5.426866,5.01766,4.600565,4.188594,3.746711,3.318799,2.887446,2.462897,2.046015,1.639879,1.250043,0.880052,0.531976,0.209129,0.085925,0.353609,0.59166,0.789621,0.95822,1.090565,1.185565,1.246294,1.266167,1.250758,1.19978,1.109077,0.985417,0.829317,0.637647,0.433815,0.180948,0.109117,0.39475,0.721542,1.049781,1.4052,1.794366,2.156637,2.532002,2.921167,3.311548,3.687191,4.060149,4.429411,4.788623,5.126926,5.446533,5.761768,6.059457,6.303088,6.518806,6.722078,6.872052,7.00029,7.089756,7.140213,7.173542,7.154093,7.09309,6.996648,6.849792,6.682164,6.477384,6.204452,5.911318,5.58602,5.215896,4.814308,4.382172,3.914906,3.418646,2.894308,2.345232,1.771685,1.173135,0.557114,0.075327,0.725298,1.386043,2.060567,2.742229,3.431994,4.123193,4.815803,5.51051,6.199782,6.885652,7.564717,8.235181,8.895372,9.547001,10.183459,10.804724,11.400277,12.005535,12.570944,13.136305,13.633277,14.148118,14.643064,15.138831,15.538578,15.973506,16.36141,16.723728,17.085674,17.392344,17.686911,17.974602,18.20536,18.413214,18.611423,18.774679,18.912548,19.021811,19.110703,19.167952,19.222406,19.232313
8,33.334919,4.556573,4.110709,4.109246,4.077774,3.799063,3.773063,3.493441,3.244549,3.162398,2.730372,2.471007,2.349829,1.841841,1.504159,1.392931,0.925126,0.90488,0.466718,0.341097,0.101595,0.012387,0.024982,0.140744,0.082733,0.094056,0.179457,0.282075,0.382485,0.796271,0.899477,1.189663,1.531322,1.87851,2.231745,2.596919,3.016944,3.404549,3.816417,4.209589,4.593157,4.952659,5.296416,5.622359,5.927093,6.212875,6.433604,6.629387,6.787853,6.911333,7.006384,7.033253,7.042035,7.016063,6.939445,6.81719,6.686581,6.494711,6.259016,6.031516,5.744887,5.45499,5.125843,4.778845,4.415875,4.045951,3.68091,3.288429,2.908715,2.525622,2.148468,1.777937,1.416758,1.069955,0.740711,0.430857,0.143388,0.119377,0.357865,0.57001,0.746223,0.896349,1.014045,1.098295,1.151886,1.168739,1.153916,1.107108,1.024439,0.912058,0.770368,0.596433,0.411658,0.182138,0.081375,0.340704,0.637766,0.936199,1.259688,1.61437,1.944545,2.287065,2.642547,2.999552,3.343422,3.685272,4.024231,4.354396,4.665884,4.960659,5.251859,5.527444,5.753799,5.954898,6.14492,6.286249,6.40791,6.494117,6.544579,6.579355,6.565597,6.513518,6.428658,6.29719,6.146253,5.960642,5.711876,5.443825,5.145452,4.805029,4.43474,4.035339,3.602551,3.141924,2.65424,2.142503,1.606908,1.04692,0.469424,0.12465,0.736329,1.359423,1.996685,2.642007,3.296249,3.953254,4.61296,5.275938,5.93521,6.592564,7.244796,7.890166,8.527029,9.156844,9.773439,10.376657,10.956707,11.545998,12.098837,12.651688,13.14159,13.64765,14.135023,14.62255,15.021207,15.451318,15.837167,16.198412,16.558002,16.865385,17.160118,17.446844,17.679522,17.889223,18.088125,18.252848,18.392111,18.502907,18.592726,18.651165,18.704723,18.714994
9,31.698151,4.970241,4.560452,4.556268,4.521797,4.259345,4.226027,3.958241,3.717397,3.626985,3.214184,2.95783,2.826409,2.339091,2.006558,1.879837,1.425381,1.379891,0.950363,0.8057,0.556211,0.443807,0.378045,0.239952,0.411805,0.217135,0.434585,0.494991,0.553408,0.899129,0.960543,1.193549,1.474183,1.760455,2.053035,2.357424,2.713127,3.040254,3.390927,3.725875,4.05359,4.360884,4.655504,4.935649,5.198244,5.445427,5.634995,5.803733,5.940273,6.046777,6.129246,6.151126,6.158329,6.135502,6.068022,5.96032,5.846466,5.677891,5.470465,5.271646,5.01966,4.765522,4.476176,4.170998,3.851642,3.526184,3.205361,2.859395,2.52504,2.187342,1.854749,1.527778,1.208829,0.902427,0.611417,0.33741,0.083095,0.149435,0.36061,0.548551,0.704478,0.837415,0.941529,1.015875,1.06297,1.077209,1.063172,1.020532,0.945672,0.844161,0.716293,0.559312,0.392747,0.185471,0.05278,0.287073,0.555878,0.825978,1.119139,1.441093,1.740784,2.052116,2.375635,2.700968,3.014681,3.327008,3.637213,3.939821,4.225858,4.497067,4.765475,5.0201,5.230051,5.417268,5.594721,5.727838,5.843256,5.926369,5.976838,6.013011,6.00467,5.961084,5.887249,5.770418,5.635383,5.468041,5.242273,4.998123,4.725421,4.413317,4.072883,3.704729,3.304858,2.878273,2.425624,1.9496,1.450328,0.927266,0.386691,0.17058,0.745501,1.332413,1.933837,2.544168,3.164165,3.78816,4.416052,5.048308,5.678474,6.30811,6.934201,7.55506,8.169072,8.777465,9.374474,9.959821,10.524397,11.097796,11.637952,12.178192,12.66061,13.157603,13.637074,14.1161,14.51299,14.937873,15.321121,15.680719,16.037498,16.34499,16.639355,16.924696,17.158731,17.369774,17.568975,17.734766,17.875078,17.987095,18.077618,18.137054,18.189701,18.200289
10,30.063509,5.260207,4.884356,4.878078,4.841614,4.595453,4.556674,4.301638,4.070206,3.974207,3.58176,3.330774,3.19248,2.727351,2.402576,2.264392,1.825507,1.75949,1.34115,1.181789,0.926011,0.794887,0.70548,0.549326,0.675631,0.46685,0.634355,0.657686,0.67911,0.963316,0.987684,1.169135,1.394508,1.625516,1.862976,2.112028,2.408993,2.680897,2.975596,3.257278,3.533875,3.793397,4.04306,4.281313,4.505391,4.71732,4.878546,5.022753,5.139511,5.230825,5.302176,5.320014,5.326333,5.307009,5.248608,5.155023,5.057321,4.910989,4.730433,4.558845,4.339645,4.119311,3.867527,3.601778,3.323505,3.039905,2.760684,2.458446,2.166713,1.87165,1.580888,1.294786,1.015439,0.746906,0.491713,0.251264,0.027967,0.176303,0.361975,0.527345,0.664393,0.781371,0.872925,0.938175,0.979384,0.991392,0.978329,0.939845,0.872569,0.781524,0.666903,0.526115,0.376933,0.190826,0.023417,0.233904,0.475883,0.719079,0.983465,1.274394,1.545164,1.826917,2.120137,2.415451,2.700573,2.984915,3.267864,3.544357,3.806269,4.055139,4.301956,4.536729,4.731121,4.90517,5.070717,5.19604,5.305539,5.385718,5.436196,5.473718,5.470527,5.435015,5.371665,5.268744,5.148843,4.998898,4.794994,4.573599,4.325352,4.040221,3.728244,3.389887,3.021419,2.627326,2.208138,1.766245,1.301708,0.813981,0.308765,0.213229,0.752889,1.305054,1.872032,2.448689,3.035696,3.627839,4.224988,4.827516,5.429458,6.032164,6.6328,7.229733,7.821375,8.408741,8.986451,9.554116,10.103271,10.660871,11.188249,11.715799,12.190351,12.678023,13.149285,13.619578,14.014066,14.433338,14.813474,15.170886,15.524427,15.831454,16.124947,16.408508,16.643373,16.855274,17.054401,17.220886,17.361916,17.474863,17.565874,17.626125,17.677845,17.688707
11,28.41774,5.432635,5.088674,5.080906,5.043406,4.813567,4.771101,4.52968,4.30896,4.209927,3.838905,3.59553,3.453574,3.012076,2.697539,2.551734,2.130526,2.048478,1.64375,1.473823,1.215274,1.069694,0.961166,0.791017,0.877567,0.658267,0.781666,0.772822,0.762026,0.990971,0.982827,1.118097,1.293713,1.474861,1.662491,1.861417,2.104983,2.326692,2.57041,2.803567,3.033573,3.249567,3.458269,3.658367,3.847387,4.027256,4.162836,4.284907,4.383926,4.461752,4.523377,4.538069,4.544153,4.528662,4.479268,4.39937,4.317226,4.192114,4.037073,3.891309,3.703098,3.51468,3.298295,3.069668,2.830037,2.585779,2.345637,2.084443,1.832696,1.577608,1.326047,1.078226,0.835954,0.602851,0.381151,0.172061,0.022274,0.200181,0.362088,0.506456,0.625972,0.728169,0.80814,0.865064,0.900969,0.911107,0.899188,0.864842,0.804924,0.723948,0.622009,0.496673,0.364067,0.198087,0.006633,0.181242,0.397783,0.615462,0.85258,1.114133,1.357497,1.611229,1.875764,2.142659,2.400706,2.658552,2.9157,3.167473,3.406543,3.634262,3.860652,4.076645,4.256297,4.41787,4.57215,4.690084,4.79398,4.871381,4.92187,4.960691,4.962395,4.934549,4.881163,4.791445,4.685933,4.552538,4.369399,4.169648,3.944672,3.685211,3.40033,3.090365,2.751827,2.388723,2.001464,1.592164,1.160819,0.706876,0.235498,0.252706,0.758565,1.277386,1.811277,2.355549,2.910791,3.472221,4.03968,4.613454,5.188042,5.7646,6.340464,6.914052,7.483809,8.05055,8.609258,9.159445,9.693244,10.235151,10.749681,11.264486,11.730824,12.208945,12.671723,13.133071,13.524562,13.93787,14.314415,14.669134,15.019039,15.325062,15.617209,15.898618,16.133814,16.346117,16.544819,16.711641,16.853077,16.966675,17.057974,17.118866,17.169643,17.180738
12,26.764912,5.493552,5.179525,5.170844,5.133219,4.919728,4.875266,4.648283,4.439514,4.339878,3.991294,3.757665,3.615105,3.1986,2.896658,2.746883,2.34535,2.251547,1.862731,1.686166,1.428189,1.272208,1.148862,0.968585,1.020899,0.794496,0.879352,0.843002,0.804535,0.984185,0.947852,1.042068,1.173185,1.309631,1.452484,1.606259,1.801528,1.977842,2.17535,2.364512,2.552253,2.728773,2.90033,3.06584,3.223106,3.373965,3.486465,3.588684,3.67191,3.737864,3.791085,3.803473,3.809933,3.798576,3.758106,3.691468,3.624298,3.519411,3.388568,3.267268,3.10831,2.949983,2.76691,2.573181,2.369837,2.162499,1.959004,1.73627,1.521971,1.3043,1.089409,0.877379,0.669749,0.469735,0.279293,0.099448,0.067899,0.221262,0.361072,0.485941,0.589218,0.677762,0.747082,0.796415,0.827567,0.836175,0.825558,0.795322,0.742537,0.671237,0.581429,0.47082,0.354004,0.207137,0.037292,0.129134,0.321581,0.515088,0.726396,0.960171,1.177597,1.404818,1.64223,1.882254,2.114696,2.347487,2.580239,2.808646,3.026115,3.233833,3.440922,3.63917,3.804875,3.954643,4.098275,4.209216,4.30781,4.382585,4.433086,4.473159,4.479508,4.458935,4.415006,4.337809,4.245963,4.128295,3.964858,3.78567,3.58282,3.347764,3.08866,2.80572,2.495682,2.162105,1.805289,1.427085,1.02743,0.605762,0.16674,0.289123,0.762602,1.249446,1.751578,2.264725,2.789404,3.321234,3.860036,4.406017,4.954109,5.505291,6.05706,6.607885,7.156243,7.702768,8.24278,8.775702,9.294232,9.82057,10.322205,10.824224,11.282033,11.750399,12.204444,12.656659,13.044598,13.451614,13.824122,14.175675,14.521572,14.826083,15.116441,15.395348,15.630403,15.84268,16.040623,16.207447,16.348997,16.46298,16.554379,16.615746,16.665571,16.676859
13,25.104149,5.448849,5.162889,5.153842,5.116961,4.919842,4.874992,4.663227,4.467587,4.369663,4.044477,3.82262,3.682361,3.292137,3.005025,2.854751,2.474781,2.373287,2.002558,1.823085,1.568849,1.406318,1.272242,1.08551,1.108835,0.878575,0.930186,0.870773,0.808963,0.945003,0.884598,0.942647,1.034276,1.130938,1.233834,1.347206,1.499044,1.634545,1.790395,1.939884,2.089488,2.230401,2.368454,2.502778,2.631439,2.756193,2.84806,2.932602,3.001884,3.057498,3.103566,3.114445,3.12185,3.1149,3.083262,3.029459,2.976688,2.891059,2.783142,2.684987,2.553603,2.423606,2.271833,2.110857,1.941535,1.768782,1.599595,1.412834,1.233541,1.050825,0.870173,0.691539,0.516217,0.347041,0.185709,0.033082,0.109171,0.239738,0.359049,0.465859,0.554132,0.630099,0.68966,0.732102,0.759024,0.766421,0.757246,0.731087,0.685207,0.623198,0.544982,0.448394,0.346601,0.217863,0.068483,0.077621,0.247277,0.417917,0.604828,0.812369,1.005279,1.207451,1.41925,1.633903,1.842162,2.051293,2.261009,2.467357,2.664427,2.853256,3.042131,3.223637,3.376164,3.514775,3.648357,3.752685,3.846274,3.918567,3.969085,4.010361,4.021114,4.007432,3.972468,3.90713,3.828251,3.725513,3.580747,3.421078,3.239242,3.027363,2.792756,2.535516,2.252591,1.947121,1.619303,1.270742,0.901317,0.510456,0.102349,0.322584,0.765072,1.221272,1.692941,2.176195,2.671485,3.174809,3.685967,4.205099,4.727541,5.254111,5.782457,6.3111,6.838548,7.365268,7.886899,8.402782,8.906147,9.417051,9.905762,10.39498,10.843974,11.302406,11.747497,12.190413,12.574284,12.97471,13.342765,13.69071,14.032253,14.334776,14.622927,14.899008,15.133476,15.345323,15.542195,15.708704,15.850091,15.964214,16.055529,16.117216,16.166079,16.177521
